ID	Control1	Control2	Control3	Control4	Control5	Control6	Control7	Control8	Control9	Control10	Control11	Control12	Control13	Control14
OTU214							3.007680492			4.870646766	3.701323251	6.109204368	6.637288136	
OTU2142	3.931726908		1.009278351	3.059375	4	2.300822562					3.701323251		4.424858757	3.625925926
OTU21473	3.931726908		1.009278351			2.300822562	3.007680492							
OTU2151		2.935532234	2.018556701		2	6.902467685			3.122807018					
OTU2152	7.863453815	2.935532234	1.009278351	3.059375	2	2.300822562								
OTU2159					1	2.300822562		2.642375169	3.122807018					3.625925926
OTU216										4.870646766	7.402646503		2.212429379	3.625925926
OTU2165	3.931726908		6.055670103		8	2.300822562	9.023041475	5.284750337	3.122807018				2.212429379	3.625925926
OTU2167			1.009278351					2.642375169			7.402646503	6.109204368	4.424858757	
OTU2177		2.935532234	1.009278351		3					4.870646766	7.402646503		4.424858757	
